dataset,video_id,roi_a,roi_b,mode,gt_hr_bpm,global_lag_ms_precalc,global_r_precalc,global_lag_ms_refined,global_r_refined,n_windows,median_residual_lag_ms,iqr_residual_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,rms_residual_lag_ms,median_r,pct_windows_|lag|<=1frame,pct_windows_|lag|>1frame,pct_windows_|lag|>2frames,pct_windows_r>=0.8
DATASET_2,subject12,left_cheek,right_cheek,filtered,65.96596229260935,-33.333333333333336,0.9229068734054658,-33.333333333333336,0.9229068734054658,59,-33.333333333333336,33.333333333333336,33.333333333333336,49.15254237288135,35.714285714285715,51.89443144563695,0.9265822472153551,52.54237288135594,47.45762711864407,0.0,100.0
DATASET_2,subject12,left_cheek,right_cheek,unfiltered,65.96596229260935,0.0,0.8555970480513008,0.0,0.8555970480513008,68,0.0,33.333333333333336,0.0,9.31372549019608,2.0833333333333335,17.619804662364146,0.869060633733016,100.0,0.0,0.0,85.29411764705883
DATASET_2,subject13,forehead,left_cheek,filtered,107.10137115956393,0.0,0.8938213073225777,0.0,0.8938213073225777,98,0.0,33.333333333333336,0.0,8.843537414965986,2.0833333333333335,17.16929178792376,0.9238693296297226,100.0,0.0,0.0,91.83673469387756
DATASET_2,subject13,forehead,left_cheek,unfiltered,107.10137115956393,0.0,0.8023597792957174,0.0,0.8023597792957174,98,0.0,0.0,0.0,8.16326530612245,2.0833333333333335,16.49572197684645,0.8332697646754677,100.0,0.0,0.0,63.26530612244898
DATASET_2,subject13,forehead,right_cheek,filtered,107.10137115956393,33.333333333333336,0.8435039493565953,33.333333333333336,0.8435039493565953,98,66.66666666666667,33.333333333333336,66.66666666666667,59.8639455782313,70.83333333333333,62.633078276028115,0.8530255616352664,27.55102040816326,72.44897959183673,7.142857142857142,78.57142857142857
DATASET_2,subject13,forehead,right_cheek,unfiltered,107.10137115956393,33.333333333333336,0.7296616597677312,33.333333333333336,0.7296616597677312,98,66.66666666666667,33.333333333333336,66.66666666666667,58.16326530612245,70.83333333333333,60.889104059735345,0.7344874883386242,30.612244897959183,69.38775510204081,5.1020408163265305,16.3265306122449
DATASET_2,subject13,left_cheek,right_cheek,filtered,107.10137115956393,33.333333333333336,0.7844007749892462,33.333333333333336,0.7844007749892462,98,66.66666666666667,33.333333333333336,66.66666666666667,51.36054421768707,68.75,56.644653587477706,0.8147470754649866,46.93877551020408,53.06122448979592,7.142857142857142,59.183673469387756
DATASET_2,subject15,left_cheek,chin,filtered,115.78668316831684,0.0,0.7059680008168423,0.0,0.7059680008168423,104,0.0,0.0,0.0,15.705128205128206,4.166666666666667,25.528599681717793,0.7400565749854948,94.23076923076923,5.769230769230769,0.0,25.961538461538463
DATASET_2,subject16,forehead,chin,filtered,91.79846341463414,33.333333333333336,0.9004952507625058,33.333333333333336,0.9004952507625058,83,66.66666666666667,33.333333333333336,66.66666666666667,51.40562248995985,64.58333333333334,54.02166256950782,0.9093448904756188,45.78313253012048,54.21686746987952,0.0,100.0
DATASET_2,subject16,forehead,chin,unfiltered,91.79846341463414,33.333333333333336,0.8386793181654153,33.333333333333336,0.8386793181654153,84,33.333333333333336,33.333333333333336,33.333333333333336,46.031746031746025,35.41666666666667,48.795003647426654,0.8431437475197358,61.904761904761905,38.095238095238095,0.0,76.19047619047619
DATASET_2,subject16,forehead,left_cheek,filtered,91.79846341463414,0.0,0.7589754720575771,0.0,0.7589754720575771,83,33.333333333333336,33.333333333333336,33.333333333333336,20.080321285140567,37.5,26.384044507079267,0.7722039896932781,98.79518072289156,1.2048192771084338,0.0,44.57831325301205
DATASET_2,subject16,forehead,right_cheek,filtered,91.79846341463414,33.333333333333336,0.8085114736607523,33.333333333333336,0.8085114736607523,83,66.66666666666667,33.333333333333336,66.66666666666667,50.602409638554214,68.75,56.91770521846441,0.8415137023141765,44.57831325301205,55.42168674698795,7.228915662650602,74.69879518072288
DATASET_2,subject16,left_cheek,chin,filtered,91.79846341463414,0.0,0.7287582401391909,0.0,0.7287582401391909,84,0.0,33.333333333333336,33.333333333333336,18.65079365079365,37.5,25.97312408246599,0.7633139690656845,97.61904761904762,2.380952380952381,0.0,40.476190476190474
DATASET_2,subject16,right_cheek,chin,filtered,91.79846341463414,0.0,0.8312160231018006,0.0,0.8312160231018006,83,0.0,0.0,0.0,9.63855421686747,2.0833333333333335,17.924428597928834,0.8326841393004002,100.0,0.0,0.0,63.85542168674698
DATASET_2,subject17,forehead,chin,filtered,85.40310312805475,0.0,0.7639052962793018,0.0,0.7639052962793018,77,0.0,33.333333333333336,33.333333333333336,24.675324675324678,37.5,33.333333333333336,0.801862070767705,87.01298701298701,12.987012987012985,0.0,50.649350649350644
DATASET_2,subject17,forehead,left_cheek,filtered,85.40310312805475,0.0,0.809301534653053,0.0,0.809301534653053,77,0.0,0.0,0.0,10.389610389610393,2.0833333333333335,18.609684207969416,0.8553008369062834,100.0,0.0,0.0,79.22077922077922
DATASET_2,subject17,forehead,left_cheek,unfiltered,85.40310312805475,0.0,0.7295300713069274,0.0,0.7295300713069274,77,0.0,0.0,0.0,9.090909090909093,2.0833333333333335,17.40776559556978,0.7454106135658436,100.0,0.0,0.0,20.77922077922078
DATASET_2,subject17,forehead,right_cheek,filtered,85.40310312805475,0.0,0.9121641791040499,0.0,0.9121641791040499,77,0.0,0.0,0.0,2.164502164502165,2.0833333333333335,8.494119857293759,0.9216252287278014,100.0,0.0,0.0,100.0
DATASET_2,subject17,forehead,right_cheek,unfiltered,85.40310312805475,0.0,0.8614210015757844,0.0,0.8614210015757844,77,0.0,0.0,0.0,0.43290043290043295,2.0833333333333335,3.798685881987932,0.867959209246947,100.0,0.0,0.0,88.31168831168831
DATASET_2,subject17,left_cheek,right_cheek,filtered,85.40310312805475,0.0,0.7762534073842579,0.0,0.7762534073842579,76,0.0,33.333333333333336,33.333333333333336,18.859649122807014,37.5,26.213250521901642,0.8355991154093944,97.36842105263158,2.631578947368421,0.0,67.10526315789474
DATASET_2,subject17,right_cheek,chin,filtered,85.40310312805475,0.0,0.7179237940833679,0.0,0.7179237940833679,77,0.0,33.333333333333336,33.333333333333336,28.138528138528148,6.25,40.02163916847486,0.7518520698311904,77.92207792207793,22.07792207792208,3.896103896103896,33.76623376623377
DATASET_2,subject22,forehead,chin,filtered,101.79305561023622,33.333333333333336,0.8075984880709113,33.333333333333336,0.8075984880709113,93,66.66666666666667,0.0,66.66666666666667,62.365591397849485,68.75,67.2021505032247,0.8424335852236329,16.129032258064516,83.87096774193549,12.903225806451612,63.44086021505376
DATASET_2,subject22,forehead,chin,unfiltered,101.79305561023622,33.333333333333336,0.7177650566843187,33.333333333333336,0.7177650566843187,92,66.66666666666667,0.0,66.66666666666667,59.42028985507247,68.75,63.702205727060615,0.730031931929268,21.73913043478261,78.26086956521739,7.608695652173914,19.565217391304348
DATASET_2,subject22,forehead,left_cheek,filtered,101.79305561023622,33.333333333333336,0.8799523423101905,33.333333333333336,0.8799523423101905,93,66.66666666666667,0.0,66.66666666666667,62.007168458781365,70.83333333333333,64.75761258027333,0.8839675619714357,23.655913978494624,76.34408602150538,9.67741935483871,89.24731182795699
DATASET_2,subject22,forehead,left_cheek,unfiltered,101.79305561023622,33.333333333333336,0.7927443228220308,33.333333333333336,0.7927443228220308,92,66.66666666666667,33.333333333333336,66.66666666666667,58.33333333333333,70.83333333333333,60.89112799578469,0.7974413458048459,29.347826086956523,70.65217391304348,4.3478260869565215,47.82608695652174
DATASET_2,subject22,forehead,right_cheek,filtered,101.79305561023622,33.333333333333336,0.8027224784451978,33.333333333333336,0.8027224784451978,93,66.66666666666667,33.333333333333336,66.66666666666667,57.70609318996414,39.583333333333336,63.45300898196235,0.8218123395891388,47.31182795698925,52.68817204301075,19.35483870967742,58.06451612903226
DATASET_2,subject22,forehead,right_cheek,unfiltered,101.79305561023622,33.333333333333336,0.7053033227847652,33.333333333333336,0.7053033227847652,92,66.66666666666667,33.333333333333336,66.66666666666667,56.88405797101448,37.5,62.45771516454056,0.6900319381740238,48.91304347826087,51.08695652173913,19.565217391304348,23.91304347826087
